index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
205,486,2,49,4,2,4,6,4,3,5,7,6,4,5,2,4,3,6,1,2,4,6,1,2,1,3,4,2,2,1,2,2,2,6,5,4,7,5,4,3,4,5,5,2,4,2,4,5,2,161
206,744,2,30,4,2,2,4,5,4,5,7,5,4,3,3,5,4,3,2,1,3,2,1,3,2,3,2,3,6,5,6,6,3,4,3,3,7,3,3,5,6,6,7,2,3,4,6,5,3,172
207,717,1,28,4,2,2,4,4,2,6,7,2,4,4,4,6,3,5,1,1,3,2,1,1,1,2,1,1,3,5,6,3,3,2,1,2,7,6,5,5,5,6,4,5,5,5,6,4,2,157
208,3188,1,25,4,1,5,5,6,5,6,7,5,7,6,3,6,3,6,5,7,3,5,1,4,4,5,7,5,5,6,5,5,6,6,6,5,7,5,6,4,4,4,4,4,4,5,5,5,5,222
209,1108,2,32,4,2,5,5,4,4,3,7,5,5,6,5,6,3,5,4,3,3,4,1,3,3,4,3,4,3,4,4,3,2,6,5,5,7,4,5,4,5,6,5,5,4,5,6,6,1,190
210,673,2,31,4,2,5,6,5,5,2,7,5,6,6,5,6,3,5,4,3,3,4,1,3,3,4,5,4,4,4,3,2,2,5,5,6,7,4,5,5,6,5,5,5,4,5,6,5,1,194
211,205,1,22,3,1,6,6,7,7,1,7,7,7,5,5,7,6,6,4,6,4,6,1,3,3,3,6,4,5,3,4,3,1,6,7,7,7,2,2,4,2,2,2,6,6,6,4,7,4,207
212,215,1,33,4,2,5,6,7,6,5,7,5,7,6,7,5,4,6,2,4,4,3,1,2,1,2,4,4,5,6,5,4,3,7,6,5,7,5,6,7,4,5,6,7,6,7,6,5,1,216
214,270,2,33,4,2,6,7,6,6,7,7,5,6,6,7,5,6,7,3,6,6,3,1,5,6,6,7,5,5,7,6,6,6,4,4,5,7,2,5,5,6,7,6,7,7,6,5,7,3,245
215,272,2,30,4,2,2,5,4,3,3,7,4,6,6,7,4,5,3,5,2,4,2,1,4,1,2,2,4,5,5,7,7,6,4,3,3,7,6,7,7,6,7,7,5,5,5,6,5,1,200
